generation,bestFitness,averageFitness
1,156.0217890118942,4519.673854315914
2,82.47838409841381,1880.809829875442
3,75.10166286494051,1419.6807589593097
4,75.03506161737019,1275.3272367725392
5,75.03506161737019,1143.9578124139632
6,60.34185549978757,1047.2124135114077
7,54.16924377925225,952.0847864090651
8,54.16924377925225,872.0896894196595
9,46.39746968773686,823.5234953914277
10,45.02940928443598,1108.4875484526367
11,42.35315196704571,1623.2321483728388
12,40.57688664865839,742.8458428980426
13,40.57688664865839,697.1021405253559
14,40.57688664865839,731.3850833990778
15,40.57688664865839,1406.1921885092765
16,40.57688664865839,10972.137628746103
17,40.57688664865839,844.1712405765973
18,40.57688664865839,2273.028006179912
19,37.54354760574515,358.2559065027123
20,37.543534009938966,297.34963337393077
21,37.517766109370385,303.59470346694553
22,37.20831895984841,306.9812043035629
23,35.57658588411353,360.0348341740936
24,33.11404158086492,232.42766217260183
25,33.11085044886617,302.36559937578
26,33.11085044886617,245.20931004952791
27,32.781480255405434,207.02411765215575
28,32.52512620147401,742.8055752290462
29,32.096279353129624,511.0019043900557
30,31.825906869857643,401.0925432093666
31,29.26011026649772,343.6543722315581
32,28.00567398604928,236.07732459349248
33,27.454353304533278,4966.6102588569465
34,27.45435330222847,1289.6264829303464
35,24.977742124120162,1121.6522055604626
