generation,bestFitness,averageFitness
1,26.738412923971097,5018.635608325973
2,24.06315973466566,923.9839437150384
3,24.06315973466566,406.72304032443014
4,24.06315973466566,296.6982048088789
5,23.24977187864625,291.325311899321
6,10.799082899456167,281.68560823021767
7,8.408204025823625,360.3746332016971
8,6.248726054904367,403.03715264153055
9,6.248726054904367,342.7331446624856
10,6.248726054904367,304.02453756897046
11,6.248726054904367,308.80557700156965
12,5.919228719432194,296.8831417288182
13,3.730305108461293,306.3365062207695
14,3.338070373781375,192.69431516230375
15,3.30354153154428,205.01848107482354
16,2.7520066398893626,204.15653813771794
17,2.7233011214908345,249.875487520902
18,2.7233011214908345,267.85143922622063
19,2.4334885533441697,268.6027803795398
20,2.4334885533441697,325.82245778669727
21,2.267381441575029,281.89087953238635
22,1.9774894719487321,227.9320254552734
23,1.9774894719487321,189.17118372503498
24,1.8527803544473707,171.88966729656897
25,1.8525510990571816,1449.750653412168
26,1.7356988167376683,227.6833808098812
27,1.4139862932214946,291.1603421198827
28,1.3860775093170399,343.59560671276205
29,1.3859521313788947,484.4714251332636
30,1.3859521313788947,208.3018946864279
31,1.36031910495772,628.606452213462
32,1.255487501313072,374.4415077758565
33,0.8124680119132199,4230.318775968255
