generation,bestFitness,averageFitness
1,113.78825821270016,1276.9250653345105
2,107.25830271414327,716.3248830122847
3,71.17248590570527,552.3400008097461
4,66.13669853459831,489.38214245028735
5,66.13669853459831,415.5772857318053
6,50.720187853065944,363.4339415863256
7,45.59250623015225,320.337478622091
8,39.91783516349673,304.056907325513
9,39.91783516349673,291.50145131171183
10,39.91599063731272,274.75144943218345
11,39.90474973546955,280.3426293033177
12,38.5161052781349,332.0945792330631
13,37.53108625975978,461.1205411766922
14,37.15477149447766,262.7704064969226
15,37.15477149447766,463.22017484856275
16,37.037422887041984,129.29424994899378
17,37.037422887041984,133.7878915946233
18,37.037422887041984,109.98892016059868
19,37.037422887041984,110.63134836775042
20,33.107905440628805,122.78431216081435
21,33.107905440628805,148.71240765192513
22,33.09381427849105,317.78774295440274
23,32.97607018663344,670.4710721305096
24,31.928895555653366,341.889287675974
25,31.928895555653366,306.74476586082534
26,31.928895555653366,606.0284519879402
27,31.928895555653366,614.2358799405109
28,31.928895555653366,486.3417188455598
29,31.928895555653366,264.78045721275345
30,31.64892368718352,302.91658989369773
31,31.64892368718352,336.2455665583273
32,31.641008078690476,1106.28139448791
33,31.641008078690476,471.9103937104479
34,31.37397941889666,309.26860448291535
35,31.37397941889666,368.1551479549149
36,31.313759126348494,407.3461844459976
37,31.035955789215997,600.9830072543461
38,30.93124847225325,590.9725953464139
39,30.930953102753808,423.86900855846153
40,30.65472517804951,411.4243903171883
41,30.65472517804951,587.7663479166596
42,30.65472517804951,599.5430693918255
43,30.65472517804951,390.8113929564326
44,30.65472517804951,377.3813364395929
45,30.06727005909144,412.71909913930034
46,29.653421161543807,459.8851125299533
47,29.653421161543807,606.3186850743238
48,29.51814153993451,1591.7177796644887
49,29.51814153993451,728.9977666466827
50,27.769482957009075,614.0640138787923
51,27.769482957009075,536.5789896103523
52,27.769482957009075,627.1721616780042
53,27.769482957009075,550.5185659322177
54,25.7190767765702,620.2685105045356
55,25.62981484199668,1103.7020210135672
56,22.659969122751512,1066.4320528403139
57,22.60436775873161,1396.3712912175565
58,22.598945182996893,906.3366430817786
59,21.538102295721572,1284.9492788485313
60,21.538102295721572,1011.5416572609683
61,20.683666285161635,1098.2389062768043
62,20.683666285161635,3321.7439742052616
63,19.692873237003774,1188.358090894976
64,19.692873237003774,517.8580754778667
65,19.692873237003774,645.4616170422562
66,19.655913470848375,927.4305146163207
67,19.293559211092013,972.5133965864377
68,18.776617832498644,1070.1962172826995
69,18.776617832498644,1574.1662365580291
70,18.023738343009953,859.4629714826642
