generation,bestFitness,averageFitness
1,67.60428871880153,3126.14538593401
2,64.77357900921673,741.4769468808511
3,64.77357900921673,394.5106155766118
4,59.66514029449615,267.50182660363413
5,59.66514029449615,242.80140910711742
6,52.22581809432674,258.45140818525823
7,46.76326435378092,317.48782030002764
8,45.20266545159065,234.14129655573166
9,42.649460060019955,198.51884722592976
10,37.712709556314444,426.5089337350324
11,37.712709556314444,254.9114343989398
12,32.756160536271935,171.93728557971573
13,30.533161661442,131.77461198348007
14,30.533161661442,452.2091709665762
15,20.570799087577374,149.198184593189
16,20.570799087577374,673.1299299897258
17,20.570799087577374,183.26710716788364
18,20.128182367832334,181.25678820593637
19,19.161560480281352,543.5664713194739
20,18.9154256904914,58967.988988812474
21,12.924553430576683,58548.65875724792
22,12.924553430576683,470.39258174495615
23,12.924553430576683,224.0984890084955
24,12.924553430576683,179.21593236966723
25,12.924553430576683,353.0090646626497
26,12.821348246293029,381.3686254857529
27,12.424989831812484,353.03782897792496
28,12.424989831812484,308.07585453083857
29,8.54899269060368,154.2902349338194
