x,expected result,program result
0.0,1.0,0.9506779627806499
1.0,1.3817732906760363,0.964778470753528
2.0,0.4931505902785393,0.43882964927651136
3.0,-0.8488724885405782,0.2269649560092105
4.0,-1.4104461161715403,-1.3748894367476514
5.0,-0.6752620891999122,-0.6746897851375917
6.0,0.6807547884514401,0.745853584080025
7.0,1.4108888530620938,0.39364408459041456
8.0,0.8438582128147682,0.2977585873427686
9.0,-0.49901177664292035,0.24959534579509518
10.0,-1.383092639965822,0.219758881356539
11.0,-0.9955645085626527,0.19931851886527016
12.0,0.3072810407320572,0.18453351417422093
13.0,1.327613818276837,0.17352632808592786
14.0,1.127344573902704,0.16524221136499945
15.0,-0.10940007270170449,0.15904506282508837
16.0,-1.24556279698845,0.15453605202923013
17.0,-1.2365608299311537,0.15146384253333572
18.0,-0.09067053852759588,0.1496775208626923
19.0,1.1385818278496216,0.14910184769836068
20.0,1.3210273125410197,0.14972581074784377
21.0,0.2889263783117877,0.15160068428891202
22.0,-1.008812135685041,0.15484677480664766
23.0,-1.3790534245085682,0.15967046323474848
24.0,-0.4813993546696269,0.16639622340750077
25.0,0.8588510617657006,0.1755235768813261
26.0,1.409477772808243,0.18782967774528891
27.0,0.6642371196706669,0.20456251057692096
28.0,-0.6917000780056975,0.22783044770696706
29.0,-1.4116914139019678,0.26146482572906743
30.0,-0.8337801742052777,0.3131916643084574
31.0,0.5107047124814663,0.4012104229761167
32.0,1.385650041748201,0.5809374133938684
33.0,0.9866351128842077,1.139304603111757
34.0,-0.3194875886645814,0.04498585014951785
35.0,-1.3318748745876579,-0.9661035300606361
36.0,-1.1197425430705206,-0.47427869040552456
37.0,0.1218759185883439,-0.306488906804855
38.0,1.2514422227566802,-0.22220814323801855
39.0,1.230438318644025,-0.17171973816650202
40.0,0.07817509882708695,-0.1382220805628662
41.0,-1.1459619463285353,-0.11445886506778429
42.0,-1.316506862903985,-0.0967844457285449
43.0,-0.27666144110797264,-0.08316712988402707
44.0,1.0175452337531048,-0.07238546856391957
45.0,1.3762255133518482,-0.0636612706158429
46.0,0.46961040276403093,-0.056475477995020715
47.0,-0.8687623464057047,-0.050468756165062904
48.0,-1.4083990007928664,-0.045384568271976414
49.0,-0.6531601090158348,-0.04103496198833081
50.0,0.7025911747881846,-0.03727915757083188
51.0,1.4123833726571573,-0.034009678441592445
52.0,0.8236368112447798,-0.031143097421267914
53.0,-0.5223576360302847,-0.028613701452210018
54.0,-1.3880988817147664,-0.026369055145311376
55.0,-0.9776284170966641,-0.02436683119806603
56.0,0.3316691056356723,-0.022572505131420353
57.0,1.3360315822170188,-0.020957651586324583
58.0,1.1120527835333565,-0.019498666879009415
59.0,-0.13434221583670736,-0.018175798536467086
60.0,-1.257223601517373,-0.01697239919205439
61.0,-1.2242194059466605,-0.015874346676711008
62.0,-0.0656735343256366,-0.014869588745989284
63.0,1.1532522818853566,-0.013947782340498092
64.0,1.3118832686263406,-0.013100005301073272
65.0,0.26437482825193137,-0.012318524156339966
66.0,-1.0261986099903169,-0.01159660569582755
67.0,-1.3732897787648275,-0.010928363021054316
68.0,-0.4577846581932506,-0.010308628958019685
69.0,0.8786055659390843,-0.009732851342350813
70.0,1.407209884644189,-0.009197005909281047
71.0,0.642031925088304,-0.008697523444589494
72.0,-0.7134272255118461,-0.00823122855771493
73.0,-1.4129646751146234,-0.007795287980572595
74.0,-0.8134289186374698,-0.007387166715828079
75.0,0.5339696343153189,-0.0070045906862938045
76.0,1.390438968005738,-0.0066455147946894635
77.0,0.9685451268495149,-0.00630809550660619
78.0,-0.3438246372574526,-0.005990667231408619
79.0,-1.3400836154984714,-0.005691721905268135
80.0,-1.1042758977624227,-0.005409891284602563
81.0,0.14679798774717734,-0.005143931542303909
82.0,1.2629064803156282,-0.004892709827432953
83.0,1.2179045790735235,-0.004655192504777439
84.0,0.053166824485953446,-0.004430434836328445
85.0,-1.1604522633426289,-0.004217571904302714
86.0,-1.3071568919538017,-0.004015810606385105
87.0,-0.25206750236551057,-0.0038244225796178165
88.0,1.0347715864287854,-0.0036427379308058244
89.0,1.3702464507541223,-0.003470139669224509
90.0,0.4459230474713877,-0.0033060587524386324
91.0,-0.8883799491770447,-0.003149969668679919
92.0,-1.4059105175261437,-0.0030013864898963153
93.0,-0.6308534397502457,-0.0028598593386149843
94.0,0.7242073812023332,-0.0027249712194265413
95.0,1.4134352757309405,-0.002596335172425406
96.0,0.8031572961432609,-0.00247359171151348
97.0,-0.5455397975688923,-0.0023564065152448235
98.0,-1.3926701172818823,-0.0022444683419835195
99.0,-0.9593859537932148,-0.00213748714466905
