x,expected result,program result
0.0,-17.0,-0.0
1.0,-11.0,2.8208383831647907
2.0,21.0,31.82503917101937
3.0,109.0,117.00767897750329
4.0,283.0,288.3638586326718
5.0,573.0,575.8887038202445
6.0,1009.0,1009.5773657354026
7.0,1621.0,1619.42502176359
8.0,2439.0,2435.4268761811018
9.0,3493.0,3487.578160878285
10.0,4813.0,4805.874136106205
11.0,6429.0,6420.310091247666
12.0,8371.0,8360.881345613532
13.0,10669.0,10657.583249265308
14.0,13353.0,13340.411183864984
15.0,16453.0,16439.360563553266
16.0,19999.0,19984.426835857204
17.0,24021.0,24005.605482628464
18.0,28549.0,28532.892021013417
19.0,33613.0,33596.2820044563
20.0,39243.0,39225.771023736794
21.0,45469.0,45451.35470804342
22.0,52321.0,52303.02872608415
23.0,59829.0,59810.78878723579
24.0,68023.0,68004.63064273368
25.0,76933.0,76914.55008690353
26.0,86589.0,86570.54295843681
27.0,97021.0,97002.60514171195
28.0,108259.0,108240.73256816262
29.0,120333.0,120314.92121769626
30.0,133273.0,133255.1671201633
31.0,147109.0,147091.46635688073
32.0,161871.0,161853.81506221165
33.0,177589.0,177572.20942520344
34.0,194293.0,194276.64569128683
35.0,212013.0,211997.1201640388
36.0,230779.0,230763.6292070119
37.0,250621.0,250606.1692456337
38.0,271569.0,271554.73676917783
39.0,293653.0,293639.3283328117
40.0,316903.0,316889.9405597233
41.0,341349.0,341336.5701433308
42.0,367021.0,367009.2138495789
43.0,393949.0,393937.86851932603
44.0,422163.0,422152.53107082593
45.0,451693.0,451683.1985023095
46.0,482569.0,482559.86789466976
47.0,514821.0,514812.5364142561
48.0,548479.0,548471.2013157826
49.0,583573.0,583565.8599453564
50.0,620133.0,620126.5097436301
51.0,658189.0,658183.1482490877
52.0,697771.0,697765.7731014659
53.0,738909.0,738904.3820453233
54.0,781633.0,781628.9729337574
55.0,825973.0,825969.5437322854
56.0,871959.0,871956.0925228893
57.0,919621.0,919618.6175082385
58.0,968989.0,968987.117016098
59.0,1020093.0,1020091.5895039284
60.0,1072963.0,1072962.0335636947
61.0,1127629.0,1127628.4479268861
62.0,1184121.0,1184120.8314697675
63.0,1242469.0,1242469.1832188629
64.0,1302703.0,1302703.502356698
65.0,1364853.0,1364853.7882278021
66.0,1428949.0,1428950.0403449917
67.0,1495021.0,1495022.2583959491
68.0,1563099.0,1563100.44225011
69.0,1633213.0,1633214.5919658835
70.0,1705393.0,1705394.7077982135
71.0,1779669.0,1779670.7902065092
72.0,1856071.0,1856072.8398629643
73.0,1934629.0,1934630.8576612817
74.0,2015373.0,2015374.8447258337
75.0,2098333.0,2098334.802421281
76.0,2183539.0,2183540.7323626736
77.0,2271021.0,2271022.636426072
78.0,2360809.0,2360810.5167597053
79.0,2452933.0,2452934.3757957118
80.0,2547423.0,2547424.216262496
81.0,2644309.0,2644310.041197729
82.0,2743621.0,2743621.853962041
83.0,2845389.0,2845389.658253456
84.0,2949643.0,2949643.4581225943
85.0,3056413.0,3056413.257988717
86.0,3165729.0,3165729.062656648
87.0,3277621.0,3277620.877334637
88.0,3392119.0,3392118.7076532263
89.0,3509253.0,3509252.5596851856
90.0,3629053.0,3629052.439966591
91.0,3751549.0,3751548.355519112
92.0,3876771.0,3876770.3138736063
93.0,4004749.0,4004748.3230950995
94.0,4135513.0,4135512.3918092544
95.0,4269093.0,4269092.5292304205
96.0,4405519.0,4405518.745191396
97.0,4544821.0,4544821.050175007
98.0,4687029.0,4687029.455347642
99.0,4832173.0,4832173.972594889
