x1,expected result,program result
-1000.0,-5.002003017E9,-4.945682475308888E9
-980.0,-4.707883757E9,-4.654969814611171E9
-960.0,-4.425526097E9,-4.375878601554014E9
-940.0,-4.154690037E9,-4.1081717788530173E9
-920.0,-3.895135577E9,-3.8516122892237816E9
-900.0,-3.646622717E9,-3.6059630753819065E9
-880.0,-3.408911457E9,-3.3709870800429883E9
-860.0,-3.181761797E9,-3.14644724592263E9
-840.0,-2.964933737E9,-2.9321065157364287E9
-820.0,-2.758187277E9,-2.727727832199984E9
-800.0,-2.561282417E9,-2.5330741380288954E9
-780.0,-2.373979157E9,-2.347908375938763E9
-760.0,-2.196037497E9,-2.171993488645186E9
-740.0,-2.027217437E9,-2.005092418863763E9
-720.0,-1.867278977E9,-1.8469681093100944E9
-700.0,-1.715982117E9,-1.6973835026997788E9
-680.0,-1.573086857E9,-1.556101541748416E9
-660.0,-1.438353197E9,-1.4228851691716056E9
-640.0,-1.311541137E9,-1.2974973276849463E9
-620.0,-1.192410677E9,-1.1797009600040386E9
-600.0,-1.080721817E9,-1.0692590088444805E9
-580.0,-9.76234557E8,-9.659344169218725E8
-560.0,-8.78708897E8,-8.694901269518131E8
-540.0,-7.87904837E8,-7.796890816499027E8
-520.0,-7.03582377E8,-6.9629422373174E8
-500.0,-6.25501517E8,-6.190684959129245E8
-480.0,-5.53422257E8,-5.477748409090557E8
-460.0,-4.87104597E8,-4.821762014357331E8
-440.0,-4.26308537E8,-4.220355202085558E8
-420.0,-3.70794077E8,-3.671157399431233E8
-400.0,-3.20321217E8,-3.171798033550351E8
-380.0,-2.74649957E8,-2.7199065315989053E8
-360.0,-2.33540297E8,-2.313112320732888E8
-340.0,-1.96752237E8,-1.9490448281082958E8
-320.0,-1.64045777E8,-1.6253334808811215E8
-300.0,-1.35180917E8,-1.3396077062073588E8
-280.0,-1.09917657E8,-1.0894969312430021E8
-260.0,-8.8015997E7,-8.726305831440447E7
-240.0,-6.9235937E7,-6.866380890664811E7
-220.0,-5.3337477E7,-5.291488761663048E7
-200.0,-4.0080617E7,-3.977923715995102E7
-180.0,-2.9225357E7,-2.9019800252209067E7
-160.0,-2.0531697E7,-2.0399519609004047E7
-140.0,-1.3759637E7,-1.368133794593535E7
-120.0,-8669177.0,-8628197.978602355
-100.0,-5020317.0,-5003042.422604479
-80.0,-2573057.0,-2568813.9935411112
-60.0,-1087397.0,-1088455.4070116798
-40.0,-323337.0,-324909.37861569517
-20.0,-40877.0,-41118.6239534839
0.0,-17.0,-25.977142637673577
20.0,39243.0,35426.20177767238
40.0,316903.0,302294.8416486695
60.0,1072963.0,1037637.3453879745
80.0,2547423.0,2478510.9973974507
100.0,4980283.0,4861973.082077851
120.0,8611543.0,8425080.883829819
140.0,1.3681203E7,1.3404891687053973E7
160.0,2.0429263E7,2.003846277615093E7
180.0,2.9095723E7,2.8562851435521297E7
200.0,3.9920583E7,3.921511494956568E7
220.0,5.3143843E7,5.22323106026847E7
240.0,6.9005503E7,6.785149567927895E7
260.0,8.7745563E7,8.630972746374905E7
280.0,1.09604023E8,1.078440632404956E8
300.0,1.34820883E8,1.3269156029391919E8
320.0,1.63636143E8,1.6108927590842053E8
340.0,1.96289803E8,1.932742673684001E8
360.0,2.33021863E8,2.2948359195825857E8
380.0,2.74072323E8,2.699543069623965E8
400.0,3.19681183E8,3.149234696652146E8
420.0,3.70088443E8,3.6462813735111326E8
440.0,4.25534103E8,4.193053673044933E8
460.0,4.86258163E8,4.791922168097553E8
480.0,5.52500623E8,5.445257431513E8
500.0,6.24501483E8,6.155430036135277E8
520.0,7.02500743E8,6.92481055480839E8
540.0,7.86738403E8,7.755769560376348E8
560.0,8.77454463E8,8.650677625683155E8
580.0,9.74888923E8,9.611905323572818E8
600.0,1.079281783E9,1.0641823226889346E9
620.0,1.190873043E9,1.1742801908476737E9
640.0,1.309902703E9,1.2917211941179006E9
660.0,1.436610763E9,1.4167423897840152E9
680.0,1.571237223E9,1.5495808351304185E9
700.0,1.714022083E9,1.6904735874415112E9
720.0,1.865205343E9,1.8396577040016937E9
740.0,2.025027003E9,1.9973702420953662E9
760.0,2.193727063E9,2.1638482590069304E9
780.0,2.371545523E9,2.3393288120207863E9
800.0,2.558722383E9,2.524048958421334E9
820.0,2.755497643E9,2.7182457554929743E9
840.0,2.962111303E9,2.922156260520108E9
860.0,3.178803363E9,3.136017530787136E9
880.0,3.405813823E9,3.3600666235784593E9
900.0,3.643382683E9,3.594540596178478E9
920.0,3.891749943E9,3.839676505871592E9
940.0,4.151155603E9,4.095711409942203E9
960.0,4.421839663E9,4.36288236567471E9
980.0,4.704042123E9,4.641426430353516E9
